food_category	restaurant	item_name	item_description	calories	total_fat	saturated_fat	trans_fat	cholesterol	sodium	carbohydrates	dietary_fiber	sugar	protein	health_score	reasoning	food_type	protein_type	
Sandwiches	Jack in the Box	"Sausage, Egg & Cheese Biscuit"	"Sausage, Egg & Cheese Biscuit , Breakfast"	530	38	16	0	265	1240	27	2	3	18	5.5	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Jack in the Box	Ultimate Breakfast Sandwich	"Ultimate Breakfast Sandwich, Breakfast"	520	31	11	0	490	1540	30	1	4	31	5.5	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Egg	
Salads	Jack in the Box	Side Salad	"Side Salad, Salads, Snacks & Sides"	20	0	0	0	0	10	4	2	2	1	9.4	"Low: dietary fiber, protein"	Salads	Veggie	
Sandwiches	Jack in the Box	Chicken Fajita Pita made with Whole Grain (with salsa)	"Chicken Fajita Pita made with Whole Grain (with salsa)  , Chicken & More"	330	9	4.5	0	60	790	35	4	4	27	9	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	Jack in the Box	"Tacos, Regular (2 Tacos)"	"Tacos, Regular (2 Tacos), Jack's Deals"	340	19	6	0.5	25	720	33	5	2	12	7.9	Low: dietary fiber	Sandwiches	Unknown	
Burgers	Jack in the Box	Jr. Jumbo Jack	"Jr. Jumbo Jack, Burgers & More, Better for You, Jack's Deals"	400	25	6	0.5	30	700	31	1	5	14	6.8	Low: dietary fiber	Burgers	Cheese	
Sandwiches	Jack in the Box	Loaded Breakfast Sandwich	"Loaded Breakfast Sandwich, Breakfast"	710	47	16	0	515	1690	36	2	4	36	5.2	"High: calories, total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Egg	
Burgers	Jack in the Box	Jr. Jumbo Jack Cheeseburger	"Jr. Jumbo Jack Cheeseburger , Jack's Deals, Burgers & More"	440	29	8	1	40	900	31	1	5	16	5.7	"High: total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Burgers	Beef	
Salads	Jack in the Box	Southwest Chicken Salad with Grilled Chicken	"Southwest Chicken Salad with Grilled Chicken, Salads"	340	14	7	0	75	780	28	7	4	29	9	"High: saturated fat, sodium"	Salads	Chicken	
Salads	Jack in the Box	Southwest Chicken Salad with Crispy Chicken Strips	"Southwest Chicken Salad with Crispy Chicken Strips , Salads"	530	26	7	0	85	1560	45	9	5	34	8.2	"High: saturated fat, sodium"	Salads	Chicken	
Sandwiches	Jack in the Box	Spicy Chicken Biscuit	"Spicy Chicken Biscuit , Breakfast"	660	36	9	0	55	1730	53	3	3	29	6.5	"High: total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Burgers	Jack in the Box	Stacked Grilled Cheese Burger Munchie Meal	"Stacked Grilled Cheese Burger Munchie Meal , Jack's Munchie Meals"	1870	92	27	2.5	130	3400	211	13	78	55	4.2	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium, sugar"	Burgers	Cheese	
Sandwiches	Jack in the Box	"Taco, Regular (1 Taco)"	"Taco, Regular (1 Taco), Snacks & Sides"	170	9	3	0	15	360	16	2	1	6	8.7	"Low: dietary fiber, protein"	Sandwiches	Beef	
Sandwiches	Jack in the Box	Grande Sausage Breakfast Burrito (with salsa)	"Grande Sausage Breakfast Burrito (with salsa) , Breakfast"	1070	72	21	0.5	370	2210	70	5	5	36	4.7	"High: calories, total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Jack in the Box	Meat Lovers Breakfast Burrito (with salsa)	"Meat Lovers Breakfast Burrito (with salsa) , Breakfast"	810	51	22	0.5	390	1630	50	3	4	40	4.6	"High: calories, total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Egg	
Burgers	Jack in the Box	Double Jack	"Double Jack , Burgers & More"	830	58	21	3	140	1430	33	2	7	46	3.7	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Beef	
Burgers	Jack in the Box	Classic Buttery Jack	"Classic Buttery Jack , Burgers & More"	790	51	21	2	110	1030	51	4	13	33	4.2	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Cheese	
Burgers	Jack in the Box	Bacon & Swiss Buttery Jack	"Bacon & Swiss Buttery Jack, Burgers & More"	810	53	22	2	125	1330	48	3	11	38	3.8	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Pork	
Sandwiches	Jack in the Box	Grande Sausage Breakfast Burrito (no salsa)	"Grande Sausage Breakfast Burrito (no salsa) , Breakfast"	1060	71	21	0.5	370	2090	69	4	4	35	4.6	"High: calories, total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Jack in the Box	Meat Lovers Breakfast Burrito (no salsa)	"Meat Lovers Breakfast Burrito (no salsa), Breakfast"	790	50	22	0.5	390	1500	48	3	3	39	4.7	"High: calories, total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Egg	
Sandwiches	Jack in the Box	Sausage Breakfast Jack	"Sausage Breakfast Jack , Breakfast"	500	34	11	0.5	265	920	30	1	4	19	5	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Jack in the Box	Fish Sandwich (seasonal)	"Fish Sandwich (seasonal) , Chicken & More"	450	23	3	0	35	1000	47	2	6	16	7.9	High: sodium | Low: dietary fiber	Sandwiches	Fish	
Sandwiches	Jack in the Box	Grilled Sourdough Swiss Sandwich	"Grilled Sourdough Swiss Sandwich, Breakfast"	580	34	12	0	500	1490	36	2	4	36	5.5	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Salads	Jack in the Box	Chicken Club Salad with Crispy Chicken Strips	"Chicken Club Salad with Crispy Chicken Strips , Salads"	540	31	9	0	95	1620	29	5	4	37	6.9	"High: total fat, saturated fat, sodium | Low: dietary fiber"	Salads	Chicken	
Salads	Jack in the Box	Chicken Club Salad with Grilled Chicken	"Chicken Club Salad with Grilled Chicken, Salads"	220	8	2.5	0	60	700	13	3	5	25	9.2	Low: dietary fiber	Salads	Chicken	
Sandwiches	Jack in the Box	"Taco, Tiny (15 pc.)"	"Taco, Tiny (15 pc.), Snacks & Sides"	530	24	4	0	55	770	61	6	3	16	8.7	High: sodium | Low: dietary fiber	Sandwiches	Beef	
Salads	Jack in the Box	Grilled Chicken Salad	"Grilled Chicken Salad , Better for You"	220	9	4	0	65	520	14	4	4	23	9.4	Low: dietary fiber	Salads	Chicken	
Sandwiches	Jack in the Box	The Cluck Sandwich	"The Cluck Sandwich, Chicken & More"	740	40	6	0	60	1770	65	4	9	32	6.6	"High: calories, total fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Salads	Jack in the Box	Chicken Club Salad with Julienne Chicken	"Chicken Club Salad with Julienne Chicken, Salads"	350	18	8	0	105	910	10	3	5	39	7.4	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Salads	Chicken	
Salads	Jack in the Box	Grilled Chicken Salad with Crispy Chicken Strips	"Grilled Chicken Salad with Crispy Chicken Strips, Salads"	420	21	4.5	0	70	1300	31	6	6	28	8.3	High: sodium | Low: dietary fiber	Salads	Chicken	
Salads	Jack in the Box	Grilled Chicken Salad with Julienne Chicken	"Grilled Chicken Salad with Julienne Chicken, Salads"	230	8	3.5	0	80	590	12	4	4	23	9.3	Low: dietary fiber	Salads	Chicken	
Sandwiches	Jack in the Box	Chicken Sandwich	"Chicken Sandwich, Kids"	510	31	5	0	35	940	42	2	4	15	7.4	"High: total fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Jack in the Box	Deluxe Fish Sandwich (seasonal)	"Deluxe Fish Sandwich (seasonal), Chicken & More"	710	36	8	0	75	1880	65	4	7	31	6.4	"High: calories, total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Fish	
Salads	Jack in the Box	Grilled Chicken Salad with Grilled Chicken	"Grilled Chicken Salad with Grilled Chicken, Salads"	220	9	4	0	65	520	14	4	4	23	9.4	Low: dietary fiber	Salads	Chicken	
Salads	Jack in the Box	Southwest Chicken Salad with Julienne Chicken	"Southwest Chicken Salad with Julienne Chicken, Salads"	340	13	6	0	75	780	28	7	4	29	9.1	High: sodium	Salads	Chicken	
Sandwiches	Jack in the Box	"Taco, Tiny (Sauced & Loaded)"	"Taco, Tiny (Sauced & Loaded), Snacks & Sides"	680	36	8	0	75	1330	67	6	5	21	7	"High: calories, total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Beef	
Salads	KFC	Caesar Side Salad	"Caesar Side Salad, Salads (Does not include dressing or croutons)"	40	2	1	0	5	90	2	1	1	3	9.1	"Low: dietary fiber, protein"	Salads	Veggie	
Salads	KFC	House Side Salad	"House Side Salad, Salads (Does not include dressing or croutons)"	15	0	0	0	0	10	3	2	2	1	9.4	"Low: dietary fiber, protein"	Salads	Veggie	
Sandwiches	KFC	Crispy Twister	"Crispy Twister, Sandwiches"	630	34	7	0	70	1260	53	4	3	28	7	"High: total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	KFC	Chicken Littles	"Chicken Littles, Sandwiches"	300	15	2.5	0	30	620	27	1	3	14	8.6	Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	KFC	Chicken Littles - Nashville Hot	"Chicken Littles - Nashville Hot, Sandwiches"	340	19	3	0	30	680	27	1	3	14	8.3	Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	KFC	Chicken Littles - Buffalo	"Chicken Littles - Buffalo, Sandwiches"	310	17	2.5	0	30	790	27	1	3	14	8.3	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	KFC	Chicken Littles - Honey BBQ	"Chicken Littles - Honey BBQ, Sandwiches"	320	15	2.5	0	30	680	31	1	7	14	8.3	Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	KFC	Classic Chicken Sandwich	"Classic Chicken Sandwich, Sandwiches"	650	35	4.5	0	90	1260	49	1	6	34	6.3	"High: total fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	KFC	Spicy Chicken Sandwich	"Spicy Chicken Sandwich, Sandwiches"	620	33	4	0	85	2140	49	1	6	34	6.5	"High: total fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Burgers	McDonald's	Hamburger	"Hamburger, Sandwiches"	250	9	3.5	0.5	25	520	31	2	6	12	8.1	Low: dietary fiber	Burgers	Beef	
Burgers	McDonald's	Cheeseburger	"Cheeseburger, Sandwiches"	300	12	6	0.5	40	750	33	2	6	15	7.5	Low: dietary fiber	Burgers	Beef	
Burgers	McDonald's	Double Cheeseburger	"Double Cheeseburger, Sandwiches"	440	23	11	1.5	80	1150	34	2	7	25	5.2	"High: saturated fat, trans fat, sodium | Low: dietary fiber"	Burgers	Beef	
Burgers	McDonald's	Quarter Pounder with Cheese	"Quarter Pounder with Cheese, Sandwiches"	510	26	12	1.5	90	1190	40	3	9	29	5	"High: saturated fat, trans fat, sodium | Low: dietary fiber"	Burgers	Cheese	
Burgers	McDonald's	Big Mac	"Big Mac, Sandwiches"	540	29	10	1.5	75	1040	45	3	9	25	5.2	"High: total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Burgers	Beef	
Burgers	McDonald's	Double Quarter Pounder with Cheese	"Double Quarter Pounder with Cheese, Sandwiches"	740	42	19	2.5	155	1380	40	3	9	48	3.8	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Beef	
Sandwiches	McDonald's	McChicken	"McChicken, Sandwiches"	360	16	3	0	35	830	40	2	5	14	8.2	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Filet-O-Fish	"Filet-O-Fish, Sandwiches"	380	18	3.5	0	40	640	38	2	5	15	8.4	Low: dietary fiber	Sandwiches	Fish	
Sandwiches	McDonald's	Egg McMuffin	"Egg McMuffin, Breakfast"	300	12	5	0	260	820	30	2	3	18	7.6	"High: cholesterol, sodium | Low: dietary fiber"	Sandwiches	Egg	
Sandwiches	McDonald's	Sausage McMuffin with Egg	"Sausage McMuffin with Egg, Breakfast"	450	27	10	0	285	920	30	2	2	21	6.3	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	Sausage Burrito	"Sausage Burrito, Breakfast"	300	16	7	0	115	830	26	1	2	12	6.8	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	"Sausage, Egg & Cheese McGriddles"	"Sausage, Egg & Cheese McGriddles, Breakfast"	560	32	12	0	265	1360	48	2	15	20	5	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	"Bacon, Egg & Cheese McGriddles"	"Bacon, Egg & Cheese McGriddles, Breakfast"	420	18	8	0	240	1110	48	2	15	15	5.8	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	Sausage McGriddles	"Sausage McGriddles, Breakfast"	420	22	8	0	35	1030	44	2	15	11	6.2	"High: saturated fat, sodium | Low: dietary fiber, protein"	Sandwiches	Pork	
Sandwiches	McDonald's	"Bacon, Egg & Cheese Bagel"	"Bacon, Egg & Cheese Bagel, Breakfast"	560	27	9	0.5	260	1300	56	3	7	24	5.3	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Burgers	McDonald's	McDouble	"McDouble, Sandwiches"	390	19	8	1	65	920	33	2	7	22	6	"High: saturated fat, trans fat, sodium | Low: dietary fiber"	Burgers	Beef	
Sandwiches	McDonald's	Sausage McMuffin	"Sausage McMuffin, Breakfast"	370	22	8	0	45	850	29	2	2	14	7.4	"High: saturated fat, sodium | Low: dietary fiber"	Sandwiches	Pork	
Burgers	McDonald's	Big N' Tasty	"Big N' Tasty, Sandwiches"	460	24	8	1.5	70	720	37	3	8	24	6.1	"High: saturated fat, trans fat | Low: dietary fiber"	Burgers	Beef	
Burgers	McDonald's	Big N' Tasty with Cheese	"Big N' Tasty with Cheese, Sandwiches"	510	28	11	1.5	85	960	38	3	8	27	5.3	"High: total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Burgers	Beef	
Burgers	McDonald's	Angus Bacon & Cheese	"Angus Bacon & Cheese, Sandwiches"	790	39	17	2	145	2070	63	4	13	45	3.8	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Pork	
Burgers	McDonald's	Angus Deluxe	"Angus Deluxe, Sandwiches"	750	39	16	2	135	1700	61	4	10	40	4.1	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Beef	
Burgers	McDonald's	Angus Mushroom & Swiss	"Angus Mushroom & Swiss, Sandwiches"	770	40	17	2	135	1170	59	4	8	44	4.2	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Beef	
Sandwiches	McDonald's	McRib	"McRib, Sandwiches"	500	26	10	0	70	980	44	3	11	22	6.6	"High: saturated fat, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	Premium Grilled Chicken Classic Sandwich	"Premium Grilled Chicken Classic Sandwich, Sandwiches"	360	9	2	0	65	820	41	4	8	27	9	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Premium Crispy Chicken Classic Sandwich	"Premium Crispy Chicken Classic Sandwich, Sandwiches"	510	22	3.5	0	45	990	56	3	10	24	7.8	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Premium Grilled Chicken Club Sandwich	"Premium Grilled Chicken Club Sandwich, Sandwiches"	460	17	6	0	90	1040	43	4	9	35	7.5	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Premium Crispy Chicken Club Sandwich	"Premium Crispy Chicken Club Sandwich, Sandwiches"	620	29	7	0	70	1200	57	3	11	31	6.5	"High: total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	McDonald's	Premium Grilled Chicken Ranch BLT Sandwich	"Premium Grilled Chicken Ranch BLT Sandwich, Sandwiches"	380	10	3	0	75	1000	41	4	9	31	8.4	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Premium Crispy Chicken Ranch BLT Sandwich	"Premium Crispy Chicken Ranch BLT Sandwich, Sandwiches"	540	23	4.5	0	55	1160	56	3	11	27	7.3	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Southern Style Crispy Chicken Sandwich	"Southern Style Crispy Chicken Sandwich, Sandwiches"	400	17	3	0	45	1030	39	1	6	24	7.9	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Ranch Snack Wrap (Crispy)	"Ranch Snack Wrap (Crispy), Sandwiches"	340	17	4.5	0	30	810	33	1	2	14	8.1	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Ranch Snack Wrap (Grilled)	"Ranch Snack Wrap (Grilled), Sandwiches"	270	10	4	0	45	830	26	1	2	18	8.6	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Honey Mustard Snack Wrap (Crispy)	"Honey Mustard Snack Wrap (Crispy), Sandwiches"	330	16	4.5	0	30	780	34	1	4	14	8	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Honey Mustard Snack Wrap (Grilled)	"Honey Mustard Snack Wrap (Grilled), Sandwiches"	260	9	3.5	0	45	800	27	1	4	18	8.6	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Chipotle BBQ Snack Wrap (Crispy)	"Chipotle BBQ Snack Wrap (Crispy), Sandwiches"	330	15	4.5	0	30	810	35	1	4	14	8	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Chipotle BBQ Snack Wrap (Grilled)	"Chipotle BBQ Snack Wrap (Grilled), Sandwiches"	260	9	3.5	0	45	830	28	1	5	18	8.6	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	McDonald's	Angus Bacon & Cheese Snack Wrap	"Angus Bacon & Cheese Snack Wrap, Sandwiches"	390	21	9	1	75	1080	28	1	4	21	5.5	"High: saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	Angus Chipotle BBQ Bacon	"Angus Chipotle BBQ Bacon, Sandwiches"	800	39	18	2	145	2020	66	4	16	45	3.6	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	Angus Chipotle BBQ Bacon Snack Wrap	"Angus Chipotle BBQ Bacon Snack Wrap, Sandwiches"	400	22	10	1	75	1060	30	1	6	21	5.3	"High: saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	Angus Deluxe Snack Wrap	"Angus Deluxe Snack Wrap, Sandwiches"	410	25	10	1.5	75	990	27	2	3	20	5.6	"High: saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Beef	
Sandwiches	McDonald's	Angus Mushroom & Swiss Snack Wrap	"Angus Mushroom & Swiss Snack Wrap, Sandwiches"	430	26	10	1.5	75	730	27	2	2	22	5.9	"High: saturated fat, trans fat | Low: dietary fiber"	Sandwiches	Beef	
Sandwiches	McDonald's	Mac Snack Wrap	"Mac Snack Wrap, Sandwiches"	330	19	7	1	45	690	26	1	3	15	6.5	"High: saturated fat, trans fat | Low: dietary fiber"	Sandwiches	Chicken	
Salads	McDonald's	Premium Southwest Salad with Grilled Chicken	"Premium Southwest Salad with Grilled Chicken, Salads"	320	9	3	0	70	960	30	6	11	30	9	High: sodium | Low: dietary fiber	Salads	Chicken	
Salads	McDonald's	Premium Southwest Salad with Crispy Chicken	"Premium Southwest Salad with Crispy Chicken, Salads"	430	20	4	0	55	920	38	6	12	26	8.4	High: sodium | Low: dietary fiber	Salads	Chicken	
Salads	McDonald's	Premium Southwest Salad (without chicken)	"Premium Southwest Salad (without chicken), Salads"	140	4.5	2	0	10	150	20	6	6	6	9.9	"Low: dietary fiber, protein"	Salads	Chicken	
Salads	McDonald's	Premium Bacon Ranch Salad with Grilled Chicken	"Premium Bacon Ranch Salad with Grilled Chicken, Salads"	260	9	4	0	90	1010	12	3	5	33	8.3	High: sodium | Low: dietary fiber	Salads	Chicken	
Salads	McDonald's	Premium Bacon Ranch Salad with Crispy Chicken	"Premium Bacon Ranch Salad with Crispy Chicken, Salads"	370	20	6	0	75	970	20	3	6	29	7.7	High: sodium | Low: dietary fiber	Salads	Chicken	
Salads	McDonald's	Premium Bacon Ranch Salad (without chicken)	"Premium Bacon Ranch Salad (without chicken), Salads"	140	7	3.5	0	25	300	10	3	4	9	9.1	"Low: dietary fiber, protein"	Salads	Chicken	
Salads	McDonald's	Premium Caesar Salad with Grilled Chicken	"Premium Caesar Salad with Grilled Chicken, Salads"	220	6	3	0	75	890	12	3	5	30	8.9	High: sodium | Low: dietary fiber	Salads	Chicken	
Salads	McDonald's	Premium Caesar Salad with Crispy Chicken	"Premium Caesar Salad with Crispy Chicken, Salads"	330	17	4.5	0	60	840	20	3	6	26	8.3	High: sodium | Low: dietary fiber	Salads	Chicken	
Salads	McDonald's	Premium Caesar Salad (without chicken)	"Premium Caesar Salad (without chicken), Salads"	90	4	2.5	0	10	180	9	3	4	7	9.4	"Low: dietary fiber, protein"	Salads	Chicken	
Salads	McDonald's	Side Salad	"Side Salad, Salads"	20	0	0	0	0	10	4	1	2	1	9.2	"Low: dietary fiber, protein"	Salads	Veggie	
Salads	McDonald's	Snack Size Fruit & Walnut Salad	"Snack Size Fruit & Walnut Salad, Salads"	210	8	1.5	0	5	60	31	2	25	4	7.8	"High: sugar | Low: dietary fiber, protein"	Salads	Veggie	
Sandwiches	McDonald's	"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)"	"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit), Breakfast"	420	23	12	0	235	1160	37	2	3	15	5.9	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)"	"Bacon, Egg & Cheese Biscuit (Large Size Biscuit), Breakfast"	480	27	12	0	235	1270	43	3	4	15	5.9	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	Sausage Biscuit with Egg (Regular Size Biscuit)	"Sausage Biscuit with Egg (Regular Size Biscuit), Breakfast"	510	33	14	0	250	1170	36	2	2	18	5.7	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	Sausage Biscuit with Egg (Large Size Biscuit)	"Sausage Biscuit with Egg (Large Size Biscuit), Breakfast"	570	37	15	0	250	1280	42	3	3	18	5.7	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	McDonald's	Sausage Biscuit (Regular Size Biscuit)	"Sausage Biscuit (Regular Size Biscuit), Breakfast"	430	27	12	0	30	1080	34	2	2	11	6.5	"High: total fat, saturated fat, sodium | Low: dietary fiber, protein"	Sandwiches	Pork	
Sandwiches	McDonald's	Sausage Biscuit (Large Size Biscuit)	"Sausage Biscuit (Large Size Biscuit), Breakfast"	480	31	13	0	30	1190	39	3	3	11	6.3	"High: total fat, saturated fat, sodium | Low: dietary fiber, protein"	Sandwiches	Pork	
Sandwiches	McDonald's	Southern Style Chicken Biscuit (Regular Size Biscuit)	"Southern Style Chicken Biscuit (Regular Size Biscuit), Breakfast"	410	20	8	0	30	1180	41	2	3	17	7.5	"High: saturated fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	McDonald's	Southern Style Chicken Biscuit (Large Size Biscuit)	"Southern Style Chicken Biscuit (Large Size Biscuit), Breakfast"	470	24	9	0	30	1290	46	3	4	17	7.3	"High: saturated fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	McDonald's	"Steak, Egg & Cheese Bagel"	"Steak, Egg & Cheese Bagel, Breakfast"	660	33	12	1	300	1580	56	3	7	33	4.2	"High: total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Egg	
Sandwiches	McDonald's	Big Breakfast (Regular Size Biscuit)	"Big Breakfast (Regular Size Biscuit), Breakfast"	740	48	17	0	555	1560	51	3	3	28	5.4	"High: calories, total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Egg	
Sandwiches	McDonald's	Big Breakfast (Large Size Biscuit)	"Big Breakfast (Large Size Biscuit), Breakfast"	800	52	18	0	555	1680	56	4	3	28	5.5	"High: calories, total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Egg	
Sandwiches	McDonald's	Big Breakfast with Hotcakes (Regular Size Biscuit)	"Big Breakfast with Hotcakes (Regular Size Biscuit), Breakfast'"	1090	56	19	0	575	2150	111	6	17	36	5	"High: calories, total fat, saturated fat, cholesterol, sodium, sugar | Low: dietary fiber"	Sandwiches	Egg	
Sandwiches	McDonald's	Big Breakfast with Hotcakes (Large Size Biscuit)	"Big Breakfast with Hotcakes (Large Size Biscuit), Breakfast"	1150	60	20	0	575	2260	116	7	17	36	5.2	"High: calories, total fat, saturated fat, cholesterol, sodium, sugar"	Sandwiches	Egg	
Sandwiches	McDonald's	McSkillet Burrito with Sausage	"McSkillet Burrito with Sausage, Breakfast"	610	36	14	0.5	410	1390	44	3	4	27	5	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Panera Bread	"Bacon, Egg & Cheese on Artisan Ciabatta"	"Bacon, Egg & Cheese on Artisan Ciabatta, Breakfast"	420	19	8	0	220	880	40	2	2	22	6.9	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Soup	Panera Bread	Broccoli Cheddar - Cup	"Broccoli Cheddar - Cup, Soups"	230	15	11	0	35	930	16	4	5	8	7.1	"High: saturated fat, sodium | Low: dietary fiber, protein"	Soup	Cheese	
Soup	Panera Bread	Broccoli Cheddar -  Bowl	"Broccoli Cheddar -  Bowl, Soups"	370	24	17	0	50	1470	25	6	8	13	7.2	"High: saturated fat, sodium | Low: dietary fiber"	Soup	Cheese	
Soup	Panera Bread	Cream of Chicken & Wild Rice - Cup	"Cream of Chicken & Wild Rice - Cup, Soups"	180	10	4.5	0	25	920	18	4	3	6	8	"High: sodium | Low: dietary fiber, protein"	Soup	Chicken	
Soup	Panera Bread	Cream of Chicken & Wild Rice - Bowl	"Cream of Chicken & Wild Rice - Bowl, Soups"	260	16	7	0.5	35	1390	27	5	4	10	7.1	"High: saturated fat, sodium | Low: dietary fiber, protein"	Soup	Chicken	
Salads	Panera Bread	Fuji Apple with Chicken Salad- Whole	"Fuji Apple with Chicken Salad- Whole, Salads"	560	34	7	0	85	850	38	6	22	27	6.7	"High: total fat, saturated fat, sodium, sugar | Low: dietary fiber"	Salads	Chicken	
Salads	Panera Bread	Fuji Apple with Chicken Salad- Half	"Fuji Apple with Chicken Salad- Half, Salads"	280	17	3.5	0	40	420	19	3	11	14	8.6	Low: dietary fiber	Salads	Chicken	
